method,item,compareItem,score,compareResult
TM_CCOEFF_NORMED,rock5,grass,45.41901779174805,false
TM_CCOEFF_NORMED,rock6,grass,76.6432876586914,false
TM_CCOEFF_NORMED,rock7,grass,76.6432876586914,false
TM_CCORR_NORMED,empty2,empty,96.87667083740234,pass
TM_CCORR_NORMED,empty3,empty,96.98966217041016,pass
TM_CCORR_NORMED,empty4,empty,96.82202911376953,pass
TM_CCORR_NORMED,empty5,empty,95.56219482421875,pass
TM_CCORR_NORMED,empty6,empty,97.11895751953125,pass
TM_CCORR_NORMED,empty7,empty,96.56954956054688,pass
TM_CCORR_NORMED,empty8,empty,95.28944396972656,pass
TM_CCORR_NORMED,empty9,empty,95.53714752197266,pass
TM_CCORR_NORMED,empty10,empty,94.36685943603516,pass
TM_CCORR_NORMED,empty11,empty,95.65853118896484,pass
TM_CCORR_NORMED,empty12,empty,96.78462219238281,pass
TM_CCORR_NORMED,empty13,empty,95.41956329345703,pass
TM_CCORR_NORMED,empty14,empty,96.74760437011719,pass
TM_CCORR_NORMED,empty15,empty,96.74005126953125,pass
TM_CCORR_NORMED,empty16,empty,95.49504089355469,pass
TM_CCORR_NORMED,empty17,empty,96.73566436767578,pass
TM_CCORR_NORMED,empty18,empty,96.91697692871094,pass
TM_CCORR_NORMED,empty19,empty,96.10485076904297,pass
TM_CCORR_NORMED,empty20,empty,96.45945739746094,pass
TM_CCORR_NORMED,empty21,empty,96.77273559570312,pass
TM_CCORR_NORMED,empty22,empty,95.6163558959961,pass
TM_CCORR_NORMED,empty23,empty,96.9522705078125,pass
TM_CCORR_NORMED,empty24,empty,96.57830047607422,pass
TM_CCORR_NORMED,empty25,empty,96.46812438964844,pass
TM_CCORR_NORMED,empty26,empty,95.67630004882812,pass
TM_CCORR_NORMED,empty27,empty,95.71906280517578,pass
TM_CCORR_NORMED,empty28,empty,95.30121612548828,pass
TM_CCORR_NORMED,empty29,empty,95.10428619384766,pass
TM_CCORR_NORMED,empty30,empty,95.83150482177734,pass
TM_CCORR_NORMED,empty31,empty,96.9469223022461,pass
TM_CCORR_NORMED,empty32,empty,96.19629669189453,pass
TM_CCORR_NORMED,empty33,empty,96.9277572631836,pass
TM_CCORR_NORMED,empty34,empty,96.83169555664062,pass
TM_CCORR_NORMED,empty35,empty,95.44309997558594,pass
TM_CCORR_NORMED,empty36,empty,96.90869140625,pass
TM_CCORR_NORMED,empty37,empty,96.81977081298828,pass
TM_CCORR_NORMED,empty38,empty,95.42864227294922,pass
TM_CCORR_NORMED,empty39,empty,96.65948486328125,pass
TM_CCORR_NORMED,empty40,empty,96.76128387451172,pass
TM_CCORR_NORMED,empty41,empty,96.55802154541016,pass
TM_CCORR_NORMED,empty42,empty,95.95513153076172,pass
TM_CCORR_NORMED,empty43,empty,95.4041748046875,pass
TM_CCORR_NORMED,empty44,empty,95.72103881835938,pass
TM_CCORR_NORMED,empty45,empty,95.70014953613281,pass
TM_CCORR_NORMED,empty46,empty,96.4383773803711,pass
TM_CCORR_NORMED,empty47,empty,95.35862731933594,pass
TM_CCORR_NORMED,empty48,empty,95.53131866455078,pass
TM_CCORR_NORMED,empty49,empty,96.81214141845703,pass
TM_CCORR_NORMED,empty50,empty,97.13114166259766,pass
TM_CCORR_NORMED,empty51,empty,96.80681610107422,pass
TM_CCORR_NORMED,empty52,empty,96.19632720947266,pass
TM_CCORR_NORMED,empty53,empty,96.54161834716797,pass
TM_CCORR_NORMED,empty54,empty,96.36506652832031,pass
TM_CCORR_NORMED,empty55,empty,96.56700134277344,pass
TM_CCORR_NORMED,empty56,empty,96.79722595214844,pass
TM_CCORR_NORMED,empty57,empty,95.9002685546875,pass
TM_CCORR_NORMED,empty58,empty,96.71355438232422,pass
TM_CCORR_NORMED,empty59,empty,96.80878448486328,pass
TM_CCORR_NORMED,empty60,empty,97.08451843261719,pass
TM_CCORR_NORMED,empty61,empty,96.87980651855469,pass
TM_CCORR_NORMED,empty62,empty,96.45945739746094,pass
TM_CCORR_NORMED,empty63,empty,96.45945739746094,pass
TM_CCORR_NORMED,empty64,empty,95.6086654663086,pass
TM_CCORR_NORMED,empty65,empty,96.80028533935547,pass
TM_CCORR_NORMED,empty66,empty,95.63761138916016,pass
TM_CCORR_NORMED,empty67,empty,95.48736572265625,pass
TM_CCORR_NORMED,empty68,empty,95.48736572265625,pass
TM_CCORR_NORMED,empty69,empty,95.18148040771484,pass
TM_CCORR_NORMED,empty70,empty,95.84217071533203,pass
TM_CCORR_NORMED,empty71,empty,97.12735748291016,pass
TM_CCORR_NORMED,empty72,empty,96.81675720214844,pass
